iter	Logloss
0	0.5053259286
1	0.4002238279
2	0.3389873542
3	0.3045567591
4	0.2806925737
5	0.2483003718
6	0.2276028386
7	0.2129276479
8	0.2026951404
9	0.1946964264
10	0.1912906721
11	0.1840211908
12	0.180389332
13	0.1783514528
14	0.1752162218
15	0.1725766842
16	0.1704940156
17	0.1651309324
18	0.1605313673
19	0.1558246102
20	0.1530753658
21	0.151796103
22	0.1485791116
23	0.1464272062
24	0.1447070209
25	0.1430739563
26	0.1414521332
27	0.1365652344
28	0.1341965751
29	0.133211205
30	0.1295259504
31	0.1274072227
32	0.1256855619
33	0.1240816967
34	0.1217478601
35	0.1195928331
36	0.1183793722
37	0.1170623794
38	0.1157861065
39	0.1142359901
40	0.1124435338
41	0.1110820273
42	0.1095265867
43	0.1084184284
44	0.1074156184
45	0.1061449696
46	0.1054208459
47	0.1045473033
48	0.1035127594
49	0.1026685915
50	0.1014704882
51	0.1007202927
52	0.09999583557
53	0.0989428392
54	0.09819266203
55	0.09670244342
56	0.09572900145
57	0.09470144659
58	0.0939916724
59	0.09272872093
60	0.09166185549
61	0.09101001599
62	0.09031895614
63	0.08923675289
64	0.08856619906
65	0.08773781052
66	0.08660247856
67	0.08603757652
68	0.08534124335
69	0.08405820822
70	0.08332916257
71	0.08223888844
72	0.08125553698
73	0.08055768949
74	0.07973109456
75	0.07872740948
76	0.07825349325
77	0.07752509931
78	0.0762217584
79	0.07561532497
80	0.07495393156
81	0.07441041251
82	0.07385132531
83	0.07315204597
84	0.07249759319
85	0.07198092688
86	0.07128597735
87	0.0707742628
88	0.0703167415
89	0.06951323473
90	0.06885081096
91	0.06827344746
92	0.06709464631
93	0.06652601347
94	0.06592346957
95	0.06546721843
96	0.06495569633
97	0.06433995991
98	0.06390948932
99	0.0633119592
100	0.06273242744
101	0.06195966489
102	0.06150823465
103	0.06092395473
104	0.060510238
105	0.05975365702
106	0.05910546682
107	0.05878620369
108	0.05826092624
109	0.05785523711
110	0.05722298337
111	0.05681844957
112	0.05631560461
113	0.05568142319
114	0.05535129499
115	0.05491358413
116	0.05452157509
117	0.0542222474
118	0.0537360877
119	0.0529813289
120	0.05251163314
121	0.05171138705
122	0.05098648245
123	0.05045666964
124	0.04993219468
125	0.04952278402
126	0.04907928921
127	0.04872175928
128	0.04814820859
129	0.04769742023
130	0.04724172107
131	0.04686369818
132	0.04629915146
133	0.04600569178
134	0.04578704456
135	0.04545977318
136	0.04490606452
137	0.04447596081
138	0.04396393994
139	0.04371314345
140	0.04341354959
141	0.04297353092
142	0.04274293612
143	0.04251389887
144	0.04216940902
145	0.04178851639
146	0.04153360407
147	0.04113652556
148	0.04089328283
149	0.04061481159
150	0.04043415046
151	0.0401386121
152	0.03986414542
153	0.03943206554
154	0.03909079938
155	0.03871597116
156	0.03834126513
157	0.03808714783
158	0.03772160021
159	0.03739097089
160	0.03702760472
161	0.0367468772
162	0.03651850205
163	0.03625675355
164	0.0360153501
165	0.03562951836
166	0.03515309016
167	0.03476328617
168	0.03432457986
169	0.03412792838
170	0.03389961745
171	0.03375473353
172	0.0335325826
173	0.03333808367
174	0.03315606909
175	0.03284932392
176	0.03254473168
177	0.03225389192
178	0.03187329018
179	0.03166389472
180	0.0312409135
181	0.03097154942
182	0.03066144361
183	0.03045656357
184	0.03023877288
185	0.03001404829
186	0.02972661094
187	0.02947349102
188	0.02925432422
189	0.02911403288
190	0.02900971463
191	0.02880144468
192	0.02862591858
193	0.02847473991
194	0.02824641564
195	0.028016302
196	0.02782745486
197	0.02770537573
198	0.02742648894
199	0.02726461344
200	0.02707429291
201	0.02690196043
202	0.02670151753
203	0.02647049973
204	0.02614779405
205	0.02599229223
206	0.02584392847
207	0.0257219084
208	0.02551574913
209	0.025281917
210	0.02506154973
211	0.02489679583
212	0.02476112701
213	0.02461455421
214	0.02446274404
215	0.02434552714
216	0.02418624111
217	0.02399927489
218	0.02384470833
219	0.02373137094
220	0.02363967035
221	0.02342233749
222	0.02302873501
223	0.02279857889
224	0.02269792898
225	0.02252660754
226	0.02238661342
227	0.02223383961
228	0.0220893348
229	0.02192036709
230	0.02175313859
231	0.02154548834
232	0.02145481846
233	0.02133783471
234	0.02115885517
235	0.02102092658
236	0.02085589933
237	0.02077913708
238	0.02063294797
239	0.02043955001
240	0.02030921326
241	0.02018550617
242	0.02007740349
243	0.01994097152
244	0.01982532763
245	0.01969585263
246	0.019622552
247	0.01949573689
248	0.01939378304
249	0.01926582828
250	0.01912155503
251	0.01899430963
252	0.01887719781
253	0.01878333774
254	0.01862093638
255	0.01856108527
256	0.01844791322
257	0.0183635499
258	0.01826704988
259	0.01815456332
260	0.01810407338
261	0.01799914925
262	0.01788020147
263	0.01779329098
264	0.01770794235
265	0.01767260382
266	0.01754742913
267	0.01741877311
268	0.01733052462
269	0.01717556451
270	0.01709696116
271	0.01696282887
272	0.01683374705
273	0.01677267511
274	0.01670347971
275	0.0166137408
276	0.01650933844
277	0.0163764475
278	0.01628414896
279	0.01622877636
280	0.01608882114
281	0.01601078523
282	0.01596827382
283	0.01586821333
284	0.01581455665
285	0.01573529041
286	0.01568099672
287	0.01555732231
288	0.0154353435
289	0.01532258187
290	0.01523763047
291	0.01516587348
292	0.01508713398
293	0.01501794341
294	0.01493041114
295	0.01490302716
296	0.0147922699
297	0.01471432715
298	0.0146190515
299	0.01454656578
300	0.01448061382
301	0.01439356721
302	0.01429738316
303	0.01417978441
304	0.01410509421
305	0.01398762913
306	0.013867113
307	0.01380624675
308	0.01370368733
309	0.01369159913
310	0.01366560212
311	0.0135948175
312	0.01351136554
313	0.01344128366
314	0.01333841531
315	0.0132311119
316	0.01314004153
317	0.01311240581
318	0.01304335983
319	0.0129886313
320	0.01290897843
321	0.01282961709
322	0.012756366
323	0.01273204244
324	0.01263843978
325	0.0125988035
326	0.01253544056
327	0.01249182618
328	0.01236108963
329	0.01230693963
330	0.01223566068
331	0.01217937979
332	0.01210936424
333	0.01205244737
334	0.01203423735
335	0.0119777853
336	0.0119031595
337	0.01183505418
338	0.0117958222
339	0.01173143263
340	0.01169208827
341	0.01164211836
342	0.01151774845
343	0.01149651035
344	0.01149312983
345	0.01138722095
346	0.01131125967
347	0.01126278229
348	0.01117527037
349	0.01110008585
350	0.01109346121
351	0.01102172662
352	0.01096896916
353	0.01094546523
354	0.01089284707
355	0.01083974639
356	0.01079817867
357	0.01073220574
358	0.01072649726
359	0.01064193843
360	0.01060924251
361	0.01058787821
362	0.01048386909
363	0.01043529213
364	0.01032881599
365	0.01029577487
366	0.01019732659
367	0.01015573918
368	0.01010295572
369	0.01007165157
370	0.01005012495
371	0.01000041345
372	0.009950061399
373	0.009901263805
374	0.009847024011
375	0.009840050867
376	0.009789744033
377	0.009744118712
378	0.009711033869
